release_date,title,location,s1release_date,genre,imdb,rottentomato,ranking,season
11-Oct-22, Island of the Sea Wolves , United Kingdom , 10/11/2022 , Documentary ,7.8,,16,season 1 
10-Oct-22, Spirit Rangers , United States , 10/10/2022 , Animation ,7.3,,101,season 1 
7-Oct-22, Oddballs , United States , 10/07/2022 , Animation ,6.4,,154,season 1 
7-Oct-22, Man on Pause , Turkey , 10/07/2022 , Comedy ,6.8,,399,season 1 
7-Oct-22, The Mole , United States , 10/07/2022 , Reality-Show ,7.6,,881,season 1 
7-Oct-22, Conversations with a Killer: The Jeffrey Dahmer Tapes , United States , 10/07/2022 , Documentary ,7.3,,3832,season 1 
7-Oct-22, Glitch , South Korea , 10/07/2022 , Science Fiction ,6.2,,195,season 1 
7-Oct-22, The Midnight Club , United States , 10/07/2022 , Horror ,6.5,87,6307,season 1 
6-Oct-22, Aftershock: Everest and the Nepal Earthquake , United Kingdom , 09/14/2022 , Documentary ,7.3,,229,season 1 
5-Oct-22, High Water , Poland , 10/05/2022 , Drama ,7.2,,5280,season 1 
5-Oct-22, Bling Empire , United States , 01/15/2021 , Reality-Show ,5.8,,5671,season 3 
5-Oct-22, Nailed It! , United States , 03/09/2018 , Reality-Show ,7.5,74,403,season 7 
5-Oct-22, Mob Psycho 100 , Japan , 01/12/2018 , Science Fiction ,8.6,,,season 3 
4-Oct-22, Detective Conan: The Culprit Hanzawa , Japan , 10/04/2022 , Animation ,6.5,,,
3-Oct-22, Chip and Potato , Canada , 10/15/2018 , Animation ,6.5,,8,season 3 
2-Oct-22, Forever Queens , Mexico , 10/02/2022 , Reality-Show ,6.8,,79,
30-Sep-22, Human Playground , United States , 09/30/2022 , Documentary ,6.8,,60,season 1 
30-Sep-22, Entergalactic , United States , 09/30/2022 , Animation ,7.3,,30,season 1 
30-Sep-22, Floor is Lava , United States , 06/19/2020 , Reality-Show ,5.3,50,6050,season 3 
29-Sep-22, The Empress , Germany , 09/29/2022 , History ,7.8,,10195,season 1 
28-Sep-22, Eat the Rich: The GameStop Saga , United States , 09/28/2022 , Documentary ,6.2,88,31,season 1 
28-Sep-22, Too Hot to Handle: Brazil , Brazil , 07/21/2021 , Reality-Show ,5.3,40,2629,season 2 
28-Sep-22, Inside the World's Toughest Prisons , United Kingdom , 04/20/2016 , Documentary ,6.3,,3308,season 6 
26-Sep-22, Inside Man , United Kingdom , 09/26/2022 , Crime ,6.6,62,6029,season 1 
23-Sep-22, The Cage , Kuwait , 09/23/2022 , Comedy ,6.3,,742,season 1 
23-Sep-22, The Girls at the Back , Spain , 09/23/2022 , Comedy ,7.6,,409,season 1 
23-Sep-22, Jamtara - Sabka Number Ayega , India , 01/10/2020 , Crime ,7.3,,1323,season 2 
22-Sep-22, Black Butterflies , France , 09/22/2022 , Crime ,7.5,,305,season 1 
22-Sep-22, Thai Cave Rescue , Thailand , 09/22/2022 , Drama ,7.8,71,2532,season 1 
22-Sep-22, Karma’s World , United States , 10/15/2021 , Animation ,7.3,,21,season 4 
22-Sep-22, Snabba Cash , Sweden , 04/07/2021 , Crime ,7.6,,3395,season 2 
21-Sep-22, Dahmer – Monster: The Jeffrey Dahmer Story , United States , 09/21/2022 , Crime ,7.9,57,34086,season 1 
21-Sep-22, Iron Chef: Mexico , Mexico , 09/21/2022 , Reality-Show ,6.4,,6,season 1 
21-Sep-22, Designing Miami , United States , 09/21/2022 , Reality-Show ,7.1,,5,season 1 
21-Sep-22, Only for Love , Brazil , 09/21/2022 , Drama ,7.8,,6,season 1 
21-Sep-22, Wanna , Italy , 09/21/2022 , Documentary ,6.7,,139,
20-Sep-22, Cunk on Earth , United Kingdom , 04/03/2018 , Comedy ,8.1,,810,season 1 
20-Sep-22, Go Dog Go , United States , 01/26/2021 , Animation ,7.2,,2886,season 3 
19-Sep-22, Les Combattantes , France , 09/19/2022 , War ,7.5,,4902,season 1 
16-Sep-22, The Brave Ones , South Africa , 09/16/2022 , Fantasy ,4.9,,325,season 1 
16-Sep-22, Gymnastics Academy: A Second Chance , Australia , 09/16/2022 , Drama ,6.4,,317,season 1 
16-Sep-22, Santo , Spain , 09/16/2022 , Crime ,5,,654,season 1 
